 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Î› (Lambda)	
e_1.0	e_1.0	543	1000	[...]	0,543	12	8,244432	5,238	0,834	1,679643	
e_2.0	e_2.0	507	1000	[...]	0,507	12,5	8,126562	5,089	0,832125	1,565196	
e_3.0	e_3.0	505	1000	[...]	0,505	11	8,102463	4,981	0,8245	1,581438	
e_4.0	e_4.0	515	1000	[...]	0,515	12,333333	8,131641	5,198	0,821056	1,618921	
e_5.0	e_5.0	482	1000	[...]	0,482	12,5	8,046607	4,889	0,838125	1,502032	
e_6.0	e_6.0	493	1000	[...]	0,493	13	8,072459	4,947	0,8215	1,532695	
e_7.0	e_7.0	480	1000	[...]	0,48	14,5	7,933882	4,864	0,808125	1,500104	
e_8.0	e_8.0	510	1000	[...]	0,51	12,5	8,124733	5,017	0,830125	1,605833	
e_9.0	e_9.0	518	1000	[...]	0,518	13	8,105873	4,93	0,8225	1,606624	
e_10.0	e_10.0	505	1000	[...]	0,505	13,5	8,037289	4,783	0,813125	1,573331	
e_11.0	e_11.0	499	1000	[...]	0,499	14	8,053435	4,826	0,821	1,547658	
e_12.0	e_12.0	502	1000	[...]	0,502	12	8,098704	4,95	0,83	1,586375	
e_13.0	e_13.0	501	1000	[...]	0,501	12,333333	8,085771	4,917	0,819056	1,582009	
e_14.0	e_14.0	518	1000	[...]	0,518	12	8,093864	5,039	0,803	1,61014	
e_15.0	e_15.0	486	1000	[...]	0,486	12,5	8,050282	4,961	0,827125	1,510409	
e_16.0	e_16.0	479	1000	[...]	0,479	13	8,080982	4,956	0,8425	1,481176	
e_17.0	e_17.0	517	1000	[...]	0,517	12,5	8,130865	4,972	0,828125	1,62491	
e_18.0	e_18.0	465	1000	[...]	0,465	13	7,947709	4,605	0,8095	1,484587	
e_19.0	e_19.0	498	1000	[...]	0,498	13	8,027064	4,897	0,8165	1,584275	
e_20.0	e_20.0	485	1000	[...]	0,485	11	8,009736	4,957	0,8065	1,526005	
e_21.0	e_21.0	489	1000	[...]	0,489	13	8,069092	5,144	0,8305	1,54336	
e_22.0	e_22.0	515	1000	[...]	0,515	13	8,167366	5,053	0,8325	1,59966	
e_23.0	e_23.0	476	1000	[...]	0,476	14	7,953877	4,889	0,814	1,505409	
e_24.0	e_24.0	443	1000	[...]	0,443	14	7,854939	4,707	0,813	1,379473	
e_25.0	e_25.0	464	1000	[...]	0,464	12	7,935708	4,776	0,807	1,477606	
e_26.0	e_26.0	432	1000	[...]	0,432	14	7,830299	4,714	0,813	1,352038	
e_27.0	e_27.0	468	1000	[...]	0,468	14	7,987156	4,752	0,821	1,462604	
e_28.0	e_28.0	464	1000	[...]	0,464	14,5	7,952894	4,844	0,827125	1,439257	
e_29.0	e_29.0	463	1000	[...]	0,463	13	7,965676	4,717	0,8225	1,454749	
e_30.0	e_30.0	439	1000	[...]	0,439	13	7,802181	4,562	0,7955	1,427575	
e_31.0	e_31.0	464	1000	[...]	0,464	14	7,928388	4,596	0,805	1,444303	
e_32.0	e_32.0	205	350	[...]	0,585714	6	7,2132	4,842857	0,865714	1,558819	
